round_epochs,val_loss,val_acc,val_f1_m,val_precision_m,val_recall_m,loss,acc,f1_m,precision_m,recall_m,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,optimizer
100,0.6034817179176764,0.6477462649345398,0.6069624423980713,0.6652063131332397,0.5760942697525024,0.5247678379971553,0.70365065,0.6791541,0.693422,0.68351966,relu,30,0,100,10,0,uniform,sigmoid,binary_crossentropy,Nadam
100,0.5999974008394601,0.6460767984390259,0.6161905527114868,0.645931601524353,0.6065126061439514,0.5505115003268379,0.6993558,0.657741,0.71873534,0.6261938,relu,30,0,100,9,0,uniform,sigmoid,binary_crossentropy,Adam
100,0.601791049333566,0.6611018180847168,0.6143735647201538,0.6803823709487915,0.579280436038971,0.5480595485773271,0.6929134,0.6590441,0.6996821,0.6447751,relu,30,0,100,9,1,uniform,sigmoid,binary_crossentropy,Nadam
100,0.6009142474459487,0.644407331943512,0.612941324710846,0.6437156796455383,0.6024283170700073,0.5482571119057253,0.6964925,0.6738971,0.69451183,0.67260814,elu,30,0,100,11,2,uniform,sigmoid,binary_crossentropy,Adam
100,0.6030394974256398,0.6527546048164368,0.6114457845687866,0.6689607501029968,0.5821307301521301,0.5457176558017389,0.69219756,0.66386646,0.6974148,0.6501781,relu,30,0,100,10,0,normal,sigmoid,binary_crossentropy,Nadam
100,0.6075041116975584,0.639398992061615,0.6381944417953491,0.6155058145523071,0.6773712038993835,0.543530915111154,0.70293486,0.6675236,0.70947754,0.6489218,relu,30,0,100,10,1,normal,sigmoid,binary_crossentropy,Nadam
