round_epochs,val_loss,val_acc,val_f1_m,val_precision_m,val_recall_m,loss,acc,f1_m,precision_m,recall_m,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
150,0.5884053959870378,0.6794657707214355,0.6583409905433655,0.6343633532524109,0.7141813039779663,0.5381647548934947,0.6929134,0.6676837,0.7056101,0.66514623,<function relu at 0x135f1b440>,16,0.0,None,150,4,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.5,<class 'keras.optimizers.Nadam'>,brick,None
150,0.6043151176732052,0.6560934782028198,0.5896844267845154,0.6056349277496338,0.6168650388717651,0.5274929826227187,0.71438795,0.686644,0.72849774,0.7087302,<function elu at 0x135f1b200>,10,0.0,None,150,16,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,3.6499999999999995,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.6077945104027431,0.6611018180847168,0.5659682750701904,0.584444522857666,0.6311111450195312,0.5227322700150436,0.70866144,0.58225894,0.67380965,0.56452376,<function relu at 0x135f1b440>,4,0.4,None,150,16,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.95,<class 'keras.optimizers.Adam'>,long_funnel,None
150,0.5809535121479894,0.6744574308395386,0.6434319019317627,0.6154100298881531,0.7099205851554871,0.5660956354762455,0.68360776,0.658012,0.68877834,0.6835716,<function elu at 0x135f1b200>,10,0.4,None,150,64,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.95,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.12054712785554052,0.6193656325340271,0.5556825995445251,0.5361111164093018,0.6583333015441895,0.06609655954023728,0.801718,0.70783764,0.7426193,0.7340478,<function elu at 0x135f1b200>,4,0.0,None,150,16,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,1.4,<class 'keras.optimizers.Nadam'>,long_funnel,None
150,0.09900623362181779,0.6611018180847168,0.6259233951568604,0.6259212493896484,0.6500820517539978,0.08346908806197201,0.7258411,0.70141,0.715715,0.71838546,<function elu at 0x135f1b200>,21,0.2,None,150,16,2,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,3.6499999999999995,<class 'keras.optimizers.Nadam'>,brick,None
150,0.09854698521963542,0.6911519169807434,0.6313039660453796,0.6817660927772522,0.6020541191101074,0.08384061933267774,0.7115247,0.6609918,0.7621522,0.60433006,<function relu at 0x135f1b440>,18,0.30000000000000004,None,150,4,1,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,1.8499999999999999,<class 'keras.optimizers.Adam'>,long_funnel,None
150,0.6942595164843514,0.5893155336380005,0.6219998598098755,0.5183332562446594,0.8655556440353394,0.5235103814620671,0.6671439,0.6814021,0.5869048,0.882619,<function relu at 0x135f1b440>,4,0.30000000000000004,None,150,16,0,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,4.1,<class 'keras.optimizers.Nadam'>,long_funnel,None
150,0.9282704501199802,0.6360601186752319,0.5667592287063599,0.5907738208770752,0.5892460942268372,0.35739990046985165,0.8296349,0.8077147,0.8407343,0.82318336,<function elu at 0x135f1b200>,10,0.0,None,150,32,1,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,4.55,<class 'keras.optimizers.Nadam'>,long_funnel,None
150,0.6905915448582033,0.6377295255661011,0.6092504858970642,0.5744311809539795,0.6948014497756958,0.4874274594150617,0.71438795,0.723612,0.66666955,0.8369531,<function relu at 0x135f1b440>,10,0.30000000000000004,None,150,4,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,1.8499999999999999,<class 'keras.optimizers.Nadam'>,long_funnel,None
150,0.10005253027869584,0.6477462649345398,0.6287861466407776,0.616403341293335,0.6614689826965332,0.08022647278760703,0.74373657,0.7343156,0.7388166,0.7460114,<function relu at 0x135f1b440>,27,0.1,None,150,4,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,1.8499999999999999,<class 'keras.optimizers.Adam'>,long_funnel,None
150,0.11311830414804273,0.6277128458023071,0.6226262450218201,0.5794377326965332,0.7131264805793762,0.07037972712205322,0.78740156,0.7789799,0.7891836,0.7970554,<function elu at 0x135f1b200>,16,0.1,None,150,64,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,4.55,<class 'keras.optimizers.Nadam'>,brick,None
150,0.5827997997029994,0.6661101579666138,0.6615570187568665,0.611990213394165,0.7419030666351318,0.562961798953259,0.68718684,0.6691292,0.6868767,0.67535406,<function elu at 0x135f1b200>,21,0.2,None,150,8,2,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,0.5,<class 'keras.optimizers.Adam'>,brick,None
150,0.10149124558262515,0.644407331943512,0.6442162990570068,0.5879184007644653,0.7336718440055847,0.08611565560059796,0.7129563,0.691414,0.7121247,0.7073856,<function relu at 0x135f1b440>,18,0.0,None,150,64,2,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,2.3,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.5679945370092216,0.7011685967445374,0.5804398655891418,0.7000001072883606,0.5447673797607422,0.5600894945130317,0.6800286,0.6423992,0.6783927,0.671881,<function elu at 0x135f1b200>,7,0.30000000000000004,None,150,4,0,<function sigmoid at 0x135f1b560>,<function binary_crossentropy at 0x135ea8a70>,2.3,<class 'keras.optimizers.RMSprop'>,brick,None
150,0.09802534696156275,0.6527546048164368,0.6544691324234009,0.595201849937439,0.7572547793388367,0.08957550829341775,0.70651394,0.6810442,0.7262516,0.67206216,<function elu at 0x135f1b200>,21,0.2,None,150,32,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,1.8499999999999999,<class 'keras.optimizers.Adam'>,brick,None
150,0.1095494074445336,0.6227045059204102,0.6766810417175293,0.5589995384216309,0.8656476140022278,0.07514256584533385,0.7322835,0.76280534,0.67399114,0.89653105,<function relu at 0x135f1b440>,27,0.2,None,150,8,0,<function sigmoid at 0x135f1b560>,<function logcosh at 0x135ea8830>,4.55,<class 'keras.optimizers.Nadam'>,brick,None
